english,spanish,part_of_speech
bundle,el haz,noun
peril,el peligro,noun
hit,el golpe,noun
product,el producto,noun
flesh,la carne,noun
pleasure,el placer,noun
window,la ventana,noun
gold,el oro,noun
lament,el lamento,noun
act,el acto,noun
prison,la cárcel,noun
radius,el radio,noun
foe,el enemigo,noun
hunger,el hambre,noun
department,el departamento,noun
floor,el piso,noun
back,la espalda,noun
dress,el vestido,noun
north,el norte,noun
aspect,el aspecto,noun
visit,la visita,noun
joke,la broma,noun
surprise,la sorpresa,noun
good judgement,el juicio,noun
defense,la defensa,noun
rule,la regla,noun
community,la comunidad,noun
attempt,el intento,noun
amount,la cantidad,noun
ship,la nave,noun
chance,el riesgo,noun
justice,la justicia,noun
exit,la salida,noun
train,el tren,noun
series,la serie,noun
section,el sector,noun
use,el uso,noun
cut,el corte,noun
finger,el dedo,noun
hope,la esperanza,noun
weight,el peso,noun
option,la opción,noun
epoch,la época,noun
a while,el rato,noun
witness,el testigo,noun
occasion,la ocasión,noun
area,el área,noun
matrimony,el matrimonio,noun
tree,el árbol,noun
destiny,el destino,noun
cold,el frío,noun
object,el objeto,noun
south,el sur,noun
cinema,el cine,noun
march,la marcha,noun
mission,la misión,noun
kitchen,la cocina,noun
island,la isla,noun
sick person,el enfermo,noun
feeling,el sentimiento,noun
press,la prensa,noun
defendant,el actor,noun
organization,la organización,noun
television,la televisión,noun
hurry,la prisa,noun
authority,la autoridad,noun
fight,la lucha,noun
anus,el culo,noun
model,el modelo,noun
lie,la mentira,noun
bag,la bolsa,noun
moon,la luna,noun
couple,la pareja,noun
brain,el cerebro,noun
wall,la pared,noun
cock,el carajo,noun
diary,el diario,noun
track,la pista,noun
band,la banda,noun
hero,el héroe,noun
queen,la reina,noun
bar,el bar,noun
article,el artículo,noun
presence,la presencia,noun
machine,la máquina,noun
permission,el permiso,noun
function,la función,noun
support,el apoyo,noun
style,el estilo,noun
station,la estación,noun
birthday,el cumpleaños,noun
planet,el planeta,noun
spirit,el espíritu,noun
lieutenant,el teniente,noun
thuja,la tuya,noun
bomb,la bomba,noun
leader,el líder,noun
nature,la naturaleza,noun
student,el estudiante,noun
figure,la figura,noun
madness,la locura,noun
skin,la piel,noun
newspaper,el periódico,noun
detail,el detalle,noun
writ,el recurso,noun
web,la red,noun
stone,la piedra,noun
beer,la cerveza,noun
home,el hogar,noun
stemmed glass,la copa,noun
science,la ciencia,noun
secretary,el secretario,noun
pressure,la presión,noun
conversation,la conversación,noun
culture,la cultura,noun
trash,la basura,noun
dance,el baile,noun
plant or of the chlorophyta,la planta,noun
english,el inglés,noun
degree,el grado,noun
brand,la marca,noun
curse,la maldición,noun
board,la junta,noun
committee,la comisión,noun
a writing,el escrito,noun
card,la tarjeta,noun
author,el autor,noun
statement,la declaración,noun
effort,el esfuerzo,noun
theater,el teatro,noun
victory,la victoria,noun
communication,la comunicación,noun
propriety,la propiedad,noun
hell,el infierno,noun
summer,el verano,noun
consequence,la consecuencia,noun
shoe,el zapato,noun
knowledge,el conocimiento,noun
intention,la intención,noun
player,el jugador,noun
production,la producción,noun
look,la mirada,noun
colonel,el coronel,noun
responsibility,la responsabilidad,noun
population,la población,noun
element,el elemento,noun
egg,el huevo,noun
page,la página,noun
cat,el gato,noun
period,el período,noun
vote,el voto,noun
wound,la herida,noun
prize,el premio,noun
happiness,la felicidad,noun
education,la educación,noun
purpose,el propósito,noun
artist,el artista,noun
coast,la costa,noun
court,el tribunal,noun
capacity,la capacidad,noun
july,el julio,noun
piece,la pieza,noun
theory,la teoría,noun
task,la tarea,noun
sound,el sonido,noun
forest,el bosque,noun
return,el regreso,noun
sale,la venta,noun
solution,la solución,noun
document,el documento,noun
nation,la nación,noun
square,el cuadro,noun
registration,el registro,noun
young child,el nene,noun
neighbour,el vecino,noun
distance,la distancia,noun
battle,la batalla,noun
flight,el vuelo,noun
mountain,la montaña,noun
confidence,la confianza,noun
wind,el viento,noun
owner,el dueño,noun
thought,el pensamiento,noun
contract,el contrato,noun
character,el carácter,noun
behind,el trasero,noun
importance,la importancia,noun
purchase,la compra,noun
neck,el cuello,noun
practice,la práctica,noun
campaign,la campaña,noun
sergeant,el sargento,noun
bullet,la bala,noun
calm,la calma,noun
faith,la fe,noun
title,el título,noun
worker,el trabajador,noun
a touch,el toque,noun
tea,el té,noun
commander,el comandante,noun
colleague,el colega,noun
course,el curso,noun
noise,el ruido,noun
pistol,la pistola,noun
milk,la leche,noun
football,el fútbol,noun
code,el código,noun
bread,el pan,noun
a reason,el porqué,noun
tooth,el diente,noun
quality,la calidad,noun
threat,la amenaza,noun
posture,la actitud,noun
tongue,la lengua,noun
region,la región,noun
kiss,el beso,noun
medicine,la medicina,noun
offer,la oferta,noun
loss,la pérdida,noun
plaza,la plaza,noun
mayor,el alcalde,noun
painting,la pintura,noun
park,el parque,noun
chair,la silla,noun
speed,la velocidad,noun
text,el texto,noun
seat,el asiento,noun
will,la voluntad,noun
laboratory,el laboratorio,noun
something that is dumb,la tontería,noun
limit,el límite,noun
lorry,el camión,noun
livestock,el ganado,noun
economy,la economía,noun
bottle,la botella,noun
show,el espectáculo,noun
vision,la visión,noun
restaurant,el restaurante,noun
ghost,el fantasma,noun
pay,el pago,noun
discourse,el discurso,noun
subject,el sujeto,noun
flat,el apartamento,noun
access,el acceso,noun
circus clown,el tony,noun
structure,la estructura,noun
story,el cuento,noun
congress,el congreso,noun
load,la carga,noun
magazine,la revista,noun
kilometre,el kilómetro,noun
friday,el viernes,noun
archive,el archivo,noun
beam,el rayo,noun
footprint,la huella,noun
thorax,el pecho,noun
club,la disco,noun
plate,el plato,noun
atmosphere,el ambiente,noun
institute,el instituto,noun
partner,el socio,noun
garden,el jardín,noun
origin,el origen,noun
interview,la entrevista,noun
nose,la nariz,noun
union,la unión,noun
outfit,el conjunto,noun
throw,el tiro,noun
evidence,la evidencia,noun
road,la carretera,noun
clock,el reloj,noun
prince,el príncipe,noun
citizen,el ciudadano,noun
saturday,el sábado,noun
analysis,el análisis,noun
a traditional mexican spicy soup made with tripe,el menudo,noun
beach,la playa,noun
pig,el cerdo,noun
trap,la trampa,noun
thief,el ladrón,noun
turn shared in sequence with others),el turno,noun
job,el empleo,noun
ministry,el ministerio,noun
height,la altura,noun
beginning,el comienzo,noun
sensation,la sensación,noun
bridge,el puente,noun
gulp,el trago,noun
journalist,el periodista,noun
scenario,el escenario,noun
current,la corriente,noun
foreigner,el extranjero,noun
administration,la administración,noun
neighbourhood,el barrio,noun
emergency,la emergencia,noun
proposal,la propuesta,noun
shadow is blocked by the shade of an object),la sombra,noun
chain,la cadena,noun
monster,el monstruo,noun
cadaver,el cadáver,noun
season,la temporada,noun
institution,la institución,noun
majesty,la majestad,noun
vacation,la vacación,noun
shot,el disparo,noun
credit,el crédito,noun
ring,el anillo,noun
technology,la tecnología,noun
bone,el hueso,noun
a federal law enforcement officer,el federal,noun
violence,la violencia,noun
signature,la firma,noun
conscience,la conciencia,noun
beauty,la belleza,noun
construction,la construcción,noun
writer,el escritor,noun
exam,el examen,noun
stairs,la escalera,noun
command,el mando,noun
expression,la expresión,noun
vehicle,el vehículo,noun
lover,el amante,noun
industry,la industria,noun
exercise,el ejercicio,noun
land,el terreno,noun
candidate,el candidato,noun
universe,el universo,noun
size,el tamaño,noun
commitment,el compromiso,noun
circumstance,la circunstancia,noun
photograph,la fotografía,noun
existence,la existencia,noun
treaty,el tratado,noun
robbery,el robo,noun
employee,el empleado,noun
leaf,la hoja,noun
protection,la protección,noun
walk,el paseo,noun
search,la búsqueda,noun
canal,el canal,noun
expert,el experto,noun
knife,el cuchillo,noun
concept,el concepto,noun
monday,el lunes,noun
benefit,el beneficio,noun
method,el método,noun
drink,la bebida,noun
debt,la deuda,noun
ribbon,la cinta,noun
demand,la demanda,noun
rhythm,el ritmo,noun
ball,la bola,noun
advantage,la ventaja,noun
representative,el representante,noun
association,la asociación,noun
rain,la lluvia,noun
version,la versión,noun
goal,la meta,noun
bus,el autobús,noun
nurse,el enfermero,noun
republic,la república,noun
investment,la inversión,noun
agency,la agencia,noun
disaster,el desastre,noun
lady,la dama,noun
drunkard,el borracho,noun
stage,la etapa,noun
performance,la actuación,noun
formation,la formación,noun
competence,la competencia,noun
impost,el impuesto,noun
novel,la novela,noun
wheel,la rueda,noun
revolution,la revolución,noun
welcome,la bienvenida,noun
hole,el agujero,noun
crime,el delito,noun
mood,el humor,noun
fish,el pez,noun
an opinion considered a true fact,el factor,noun
vacuum,el vacío,noun
living room,el salón,noun
content,el contenido,noun
ice,el hielo,noun
adventure,la aventura,noun
sword,la espada,noun
dust,el polvo,noun
criticism,la crítica,noun
plane,el plano,noun
border,la frontera,noun
pupil,el alumno,noun
conference,la conferencia,noun
juror,el jurado,noun
drinking glass,el vaso,noun
god,el dios,noun
executive,el ejecutivo,noun
hat,el sombrero,noun
territory,el territorio,noun
palace,el palacio,noun
generation,la generación,noun
a native of india,el indio,noun
bird,el pájaro,noun
may,el mayo,noun
session,la sesión,noun
rock,la roca,noun
organism,el organismo,noun
phrase,la frase,noun
frame,el marco,noun
reaction,la reacción,noun
characteristic,la característica,noun
kingdom,el reino,noun
sport,el deporte,noun
expenditure,el gasto,noun
emotion,la emoción,noun
conflict,el conflicto,noun
shoulder,el hombro,noun
chicken,el pollo,noun
awkwardness,la dificultad,noun
lip,el labio,noun
cousin,el primo,noun
explanation,la explicación,noun
ability,la habilidad,noun
male witch,el brujo,noun
trainer,el entrenador,noun
procedure,el procedimiento,noun
shame,la vergüenza,noun
chapter,el capítulo,noun
cunt,el coño,noun
airport,el aeropuerto,noun
smell,el olor,noun
increase,el aumento,noun
darkness,la oscuridad,noun
a cry,el grito,noun
behavior,el comportamiento,noun
identity,la identidad,noun
prisoner,el prisionero,noun
surface,la superficie,noun
wood,la madera,noun
trick,el truco,noun
dough,la masa,noun
pilot,el piloto,noun
west,el oeste,noun
an elderly person,el anciano,noun
talent,el talento,noun
princess,la princesa,noun
transport,el transporte,noun
pocket,el bolsillo,noun
smile,la sonrisa,noun
connection,la conexión,noun
silver,la plata,noun
language,el lenguaje,noun
copy,la copia,noun
man-whore,el puto,noun
glory,la gloria,noun
adult,el adulto,noun
impression,la impresión,noun
promise,la promesa,noun
governor,el gobernador,noun
coin,la moneda,noun
bastard,el bastardo,noun
creation,la creación,noun
joy,la alegría,noun
official,el funcionario,noun
shirt,la camisa,noun
corner,la esquina,noun
pastry,el pastel,noun
temperature,la temperatura,noun
bet,la apuesta,noun
mirror,el espejo,noun
growth,el crecimiento,noun
delivery,la entrega,noun
intelligence,la inteligencia,noun
creature,la criatura,noun
museum,el museo,noun
september,el septiembre,noun
preoccupation,la preocupación,noun
deputy,el diputado,noun
tone,el tono,noun
phenomenon,el fenómeno,noun
magic,la magia,noun
frequency,la frecuencia,noun
ceiling,el techo,noun
regime,el régimen,noun
reservation,la reserva,noun
a painted or embroidered image of a saint carried over the heart to ward off danger or attack,el detente,noun
friendship,la amistad,noun
fat man,el gordo,noun
decade,la década,noun
cancer,el cáncer,noun
reform,la reforma,noun
cure,la cura,noun
cheese,el queso,noun
tradition,la tradición,noun
reference,la referencia,noun
knee,la rodilla,noun
map,el mapa,noun
grace,la gracia,noun
participation,la participación,noun
lesson,la lección,noun
concert,el concierto,noun
trade,el comercio,noun
champion,el campeón,noun
october,el octubre,noun
lake,el lago,noun
dominion,la señoría,noun
miracle,el milagro,noun
parcel,el paquete,noun
daddy,el papi,noun
mail,el correo,noun
strategy,la estrategia,noun
instant,el instante,noun
december,el diciembre,noun
influence,la influencia,noun
june,el junio,noun
april,el abril,noun
angel,el ángel,noun
oil,el aceite,noun
lunch,el almuerzo,noun
computer,la computadora,noun
individual,el individuo,noun
habit,la costumbre,noun
rope,la cuerda,noun
january,el enero,noun
sin,el pecado,noun
exposition,la exposición,noun
cigarette,el cigarrillo,noun
laugh,la risa,noun
cup,la taza,noun
senator,el senador,noun
fashion,la moda,noun
instrument,el instrumento,noun
genius,el genio,noun
democracy,la democracia,noun
storm,la tormenta,noun
grave,la tumba,noun
wolf,el lobo,noun
winner,el ganador,noun
phase,la fase,noun
personality,la personalidad,noun
traffic,el tráfico,noun
monkey,el mono,noun
announcement,el anuncio,noun
alternative,la alternativa,noun
fortune,la fortuna,noun
camping,el campamento,noun
gesture,el gesto,noun
billy goat,el cabrón,noun
combat,el combate,noun
treasure,el tesoro,noun
patron,el patrón,noun
english or american pound avoirdupois,la libra,noun
hi-hat,el charles,noun
event,el evento,noun
budget,el presupuesto,noun
factory,la fábrica,noun
digit,la cifra,noun
dispatch,el despacho,noun
division,la división,noun
tail,la cola,noun
uniform,el uniforme,noun
attendee,el asistente,noun
root,la raíz,noun
comment,el comentario,noun
driver,el conductor,noun
extreme,el extremo,noun
breakfast,el desayuno,noun
tuesday,el martes,noun
tour,la gira,noun
slave,el esclavo,noun
passion,la pasión,noun
behaviour,la conducta,noun
highway,la ruta,noun
application,la aplicación,noun
thursday,el jueves,noun
fenugreek,la rica,noun
pity,la lástima,noun
cart,el carro,noun
bull,el toro,noun
crystal,el cristal,noun
fish that has been caught,el pescado,noun
troop,la tropa,noun
presentation,la presentación,noun
mine,la mina,noun
homicide,el homicidio,noun
installation,la instalación,noun
nightmare,la pesadilla,noun
circle,el círculo,noun
humanity,la humanidad,noun
wing,el ala,noun
adolescent,el adolescente,noun
virgin,el virgen,noun
bear,el oso,noun
outer ear,la oreja,noun
tension,la tensión,noun
suitcase,la maleta,noun
negotiation,la negociación,noun
paw,la pata,noun
tip,la punta,noun
november,el noviembre,noun
explosion,la explosión,noun
winter,el invierno,noun
design,el diseño,noun
poet,el poeta,noun
discussion,la discusión,noun
cell,la célula,noun
conclusion,la conclusión,noun
producer,el productor,noun
rat,la rata,noun
hallway,el pasillo,noun
tapeworm,la tenia,noun
reading,la lectura,noun
disgrace,la desgracia,noun
opposition,la oposición,noun
fall,la caída,noun
departure,la partida,noun
essay,el ensayo,noun
clutch,la puesta,noun
wrist,la muñeca,noun
rooster,el gallo,noun
vengeance,la venganza,noun
episode,el episodio,noun
training,el entrenamiento,noun
consumption,el consumo,noun
mystery,el misterio,noun
screen,la pantalla,noun
clinic,la clínica,noun
instruction,la instrucción,noun
arrival,la llegada,noun
banknote,el billete,noun
august,el agosto,noun
stomach,el estómago,noun
disposal,la disposición,noun
province,la provincia,noun
alliance,la alianza,noun
inspector,el comisario,noun
apple,la manzana,noun
apparatus,el aparato,noun
snow,la nieve,noun
criterion,el criterio,noun
cheque,el cheque,noun
cloud,la nube,noun
intervention,la intervención,noun
cable,el cable,noun
district,el distrito,noun
cow,la vaca,noun
businessman,el empresario,noun
grass,la hierba,noun
tendency,la tendencia,noun
nephew,el sobrino,noun
sand,la arena,noun
mamma,la mama,noun
surgery,la cirugía,noun
guard,el guarda,noun
anger,la ira,noun
perspective,la perspectiva,noun
edition,la edición,noun
trade union,el sindicato,noun
priest,el sacerdote,noun
organ,el órgano,noun
resistance,la resistencia,noun
drawing,el dibujo,noun
cover,la cubierta,noun
reach,el alcance,noun
grandchild,el nieto,noun
flag,la bandera,noun
mommy,la mami,noun
fun,la diversión,noun
yard,el patio,noun
researcher,el investigador,noun
selection,la selección,noun
english or american mile,la milla,noun
talk,la charla,noun
shutting,el cierre,noun
concourse,el concurso,noun
city council,el ayuntamiento,noun
entity,la entidad,noun
button,el botón,noun
wednesday,el miércoles,noun
library,la biblioteca,noun
religion,la religión,noun
hundredth,el centavo,noun
tear,la lágrima,noun
farm,la granja,noun
incident,el incidente,noun
license,la licencia,noun
overcoat,el abrigo,noun
symptom,el síntoma,noun
stop,la parada,noun
purse,el bolso,noun
birth,el nacimiento,noun
sauce,la salsa,noun
evolution,la evolución,noun
temple,el templo,noun
accusation,la acusación,noun
pick-up truck,la camioneta,noun
candle,la vela,noun
emperor,el emperador,noun
curiosity,la curiosidad,noun
hunting,la caza,noun
representation,la representación,noun
complex,el complejo,noun
identification,la identificación,noun
request,la petición,noun
youth,la juventud,noun
coincidence,la coincidencia,noun
vigilance,la vigilancia,noun
desert,el desierto,noun
tower,la torre,noun
advertisement,la publicidad,noun
volume,el volumen,noun
beast,la bestia,noun
guide,el guía,noun
smoke,el humo,noun
prison cell,la celda,noun
alarm,la alarma,noun
continuation,la continuación,noun
warning,el aviso,noun
ceremony,la ceremonia,noun
significance,el significado,noun
absence,la ausencia,noun
jacket,la chaqueta,noun
initiative,la iniciativa,noun
translation,la traducción,noun
lathe,el torno,noun
obligation,la obligación,noun
blowjob,el pete,noun
progress,el progreso,noun
climate,el clima,noun
triumph,el triunfo,noun
wonder,la maravilla,noun
brim,el borde,noun
february,el febrero,noun
suicide,el suicidio,noun
scale,la escala,noun
symbol,el símbolo,noun
stake,el palo,noun
fruit,la fruta,noun
mechanism,el mecanismo,noun
sum,la suma,noun
impact,el impacto,noun
group of musicians,la ronda,noun
housing,la vivienda,noun
congratulation,la felicitación,noun
mate,el mate,noun
flavor,el sabor,noun
argument,el argumento,noun
tribe,la tribu,noun
category,la categoría,noun
spot,la mancha,noun
waiter,el camarero,noun
dimension,la dimensión,noun
greeting,el saludo,noun
cloak,la capa,noun
advance,el avance,noun
pride,el orgullo,noun
comma,la coma,noun
exception,la excepción,noun
margin,el margen,noun
jump,el salto,noun
poster,el cartel,noun
strike,la huelga,noun
sentence,la sentencia,noun
iron,el hierro,noun
rate,la tasa,noun
challenge,el desafío,noun
cupboard,el armario,noun
experiment,el experimento,noun
snake,la serpiente,noun
honey,la miel,noun
imagination,la imaginación,noun
patience,la paciencia,noun
poem,el poema,noun
swimming pool,la piscina,noun
demonstration,la manifestación,noun
deposit,el depósito,noun
illusion,la ilusión,noun
literature,la literatura,noun
dialogue,el diálogo,noun
mixture,la mezcla,noun
ambassador,el embajador,noun
downfall,el fracaso,noun
a tool,la herramienta,noun
spy,el espía,noun
recognition,el reconocimiento,noun
empire,el imperio,noun
collection,la colección,noun
divorce,el divorcio,noun
noodles,la sopa,noun
violation,la violación,noun
cost,el costo,noun
toy,el juguete,noun
parliament,el parlamento,noun
fantasy,la fantasía,noun
substance,la sustancia,noun
potential,el potencial,noun
legend,la leyenda,noun
suspicion,la sospecha,noun
complaint,la queja,noun
profile,el perfil,noun
scandal,el escándalo,noun
inhabitant,el habitante,noun
a column,la columna,noun
arrest,el arresto,noun
poetry,la poesía,noun
sacrifice,el sacrificio,noun
engineer,el ingeniero,noun
formula,la fórmula,noun
adviser,el consejero,noun
hunter,el cazador,noun
wave,la onda,noun
testimony,el testimonio,noun
jewellery,la joya,noun
headline,el titular,noun
ambulance,la ambulancia,noun
start,el inicio,noun
traitor,el traidor,noun
singer,el cantante,noun
residence,la residencia,noun
monk,el monje,noun
ocean,el océano,noun
penis,el pene,noun
a court of law with a judge,el juzgado,noun
throat,la garganta,noun
therapy,la terapia,noun
vampire,el vampiro,noun
a basque person,el vasco,noun
grain,el grano,noun
dozen,la docena,noun
passenger,el pasajero,noun
power,la potencia,noun
cookie,la galleta,noun
oven,el horno,noun
reader,el lector,noun
shower,la ducha,noun
fever,la fiebre,noun
scope,el ámbito,noun
cycle,el ciclo,noun
writing desk,el escritorio,noun
branch,la rama,noun
refuge,el refugio,noun
remedy,el remedio,noun
bedroom,el dormitorio,noun
reward,la recompensa,noun
specialist,el especialista,noun
cellar,el sótano,noun
rice,el arroz,noun
painter,el pintor,noun
precedent,el antecedente,noun
video,el vídeo,noun
tank,el tanque,noun
prostitute,el prostituto,noun
cream,la crema,noun
workshop,el taller,noun
boot,la bota,noun
duke,el duque,noun
sofa,el sofá,noun
concentration,la concentración,noun
pill,la pastilla,noun
wage,el salario,noun
adjustment,el arreglo,noun
corridor,el corredor,noun
assembly,la asamblea,noun
colony,la colonia,noun
rescue,el rescate,noun
assault,el asalto,noun
lesion,la lesión,noun
philosophy,la filosofía,noun
urgency,la urgencia,noun
appearance,la aparición,noun
bicycle,la bicicleta,noun
invitation,la invitación,noun
helper,el ayudante,noun
observation,la observación,noun
fuel,el combustible,noun
warehouse,el almacén,noun
tunnel,el túnel,noun
widower,el viudo,noun
any fruit from a plant,el fruto,noun
logic,la lógica,noun
academy,la academia,noun
drive,el impulso,noun
mask,la máscara,noun
protest,la protesta,noun
poison,el veneno,noun
wallet,la cartera,noun
singing,el canto,noun
texture,el tejido,noun
teaching,la enseñanza,noun
salesman,el vendedor,noun
foundation,la fundación,noun
nerve,el nervio,noun
helicopter,el helicóptero,noun
catholic,el católico,noun
balance,el equilibrio,noun
timetable,el horario,noun
guarantee,la garantía,noun
comrade,el camarada,noun
slut,la zorra,noun
"clipping of ""motocicleta""",la moto,noun
solitude,la soledad,noun
vice president,el vicepresidente,noun
{{es-superseded spelling of|guion|2010}},el guión,noun
luxury,el lujo,noun
concrete,el concreto,noun
dose,la dosis,noun
recording,la grabación,noun
petroleum,el petróleo,noun
dancer,el bailarín,noun
retrieval,la recuperación,noun
consultation,la consulta,noun
surname,el apellido,noun
hill,la colina,noun
presidency,la presidencia,noun
pact,el pacto,noun
loser,el perdedor,noun
musician,el músico,noun
virtue,la virtud,noun
helmet,el casco,noun
interpretation,la interpretación,noun
kidnapping,el secuestro,noun
relative,el pariente,noun
rebel,el rebelde,noun
farmer,el campesino,noun
novelty,la novedad,noun
federation,la federación,noun
manager,el gerente,noun
tragedy,la tragedia,noun
distribution,la distribución,noun
panic,el pánico,noun
appliance,el dispositivo,noun
childhood,la infancia,noun
tube,el tubo,noun
wealth,la riqueza,noun
